Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
PIH,1347 Property Insurance Holdings Inc.,7.3,$43.48M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih
TURN,180 Degree Capital Corp.,1.63,$50.73M,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/turn
FLWS,1-800 FLOWERS.COM Inc.,9.4,$614.15M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws
FCCY,1st Constitution Bancorp (NJ),17.25,$139.19M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,44.82,$1.16B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce
VNET,21Vianet Group Inc.,5.49,$617.63M,2011,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/vnet
TWOU,2U Inc.,54.01,$2.59B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou
JOBS,51job Inc.,60.04,$3.69B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs
CAFD,8point3 Energy Partners LP,14.12,$1.12B,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd
EGHT,8x8 Inc,14,$1.29B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght
AVHI,A V Homes Inc.,15.35,$344.69M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi
SHLM,A. Schulman Inc.,31.25,$920.77M,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm
AAON,AAON Inc.,31.85,$1.68B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon
ABAX,ABAXIS Inc.,45.44,$1.03B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax
ABEO,Abeona Therapeutics Inc.,13.85,$557.98M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo
ABEOW,Abeona Therapeutics Inc.,8.67,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow
ABIL,Ability Inc.,0.7601,$19.58M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/abil
ABMD,ABIOMED Inc.,153.85,$6.79B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd
AXAS,Abraxas Petroleum Corporation,1.7,$281.94M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas
ACIU,AC Immune SA,9.55,$543.61M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aciu
ACIA,Acacia Communications Inc.,44.53,$1.75B,2016,Technology,Semiconductors,http://www.nasdaq.com/symbol/acia
ACTG,Acacia Research Corporation,3.4,$172.03M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg
ACHC,Acadia Healthcare Company Inc.,46.48,$4.08B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc
ACAD,ACADIA Pharmaceuticals Inc.,35.8,$4.38B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad
ACST,Acasti Pharma Inc.,1.34,$19.75M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst
AXDX,Accelerate Diagnostics Inc.,22.6,$1.25B,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx
ACCP,Accelerated Pharma Inc.,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/accp
XLRN,Acceleron Pharma Inc.,38.45,$1.49B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn
ANCX,Access National Corporation,24.68,$503.27M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx
ARAY,Accuray Incorporated,4.15,$347.55M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray
ACRX,AcelRx Pharmaceuticals Inc.,3.25,$147.49M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx
ACET,Aceto Corporation,10.35,$311.63M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet
AKAO,Achaogen Inc.,17.39,$734.44M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
ACHV,Achieve Life Sciences Inc. ,3.09,$33.83M,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/achv
ACHN,Achillion Pharmaceuticals Inc.,4.9,$670.13M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
ACIW,ACI Worldwide Inc.,22.775,$2.69B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
ACRS,Aclaris Therapeutics Inc.,27.38,$732.05M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
ACNB,ACNB Corporation,26.65,$186.96M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
ACOR,Acorda Therapeutics Inc.,22.25,$1.04B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
SQZZ,Active Alts Contrarian ETF,24.2737,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/sqzz
ATVI,Activision Blizzard Inc,65.83,$49.7B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
ACTA,Actua Corporation,12.7,$415.57M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
ACXM,Acxiom Corporation,23.5,$1.87B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
ADMS,Adamas Pharmaceuticals Inc.,21.26,$478.65M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms
ADMP,Adamis Pharmaceuticals Corporation,5.4,$169.3M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp
ADAP,Adaptimmune Therapeutics plc,7.55,$706.07M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap
ADUS,Addus HomeCare Corporation,33.7,$391.75M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus
AEY,ADDvantage Technologies Group Inc.,1.47,$14.98M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey
IOTS,Adesto Technologies Corporation,6.45,$135.08M,2015,Technology,Semiconductors,http://www.nasdaq.com/symbol/iots
ADMA,ADMA Biologics Inc,3.62,$62.27M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma
ADBE,Adobe Systems Incorporated,155.47,$76.71B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe
ADOM,ADOMANI Inc.,13.35,$908.75M,2017,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/adom
ADTN,ADTRAN Inc.,21.7,$1.04B,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
ADRO,Aduro Biotech Inc.,11.75,$876.7M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro
AAAP,Advanced Accelerator Applications S.A.,50.1,$2.21B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aaap
ADES,Advanced Emissions Solutions Inc.,10.05,$212.09M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/ades
AEIS,Advanced Energy Industries Inc.,73.68,$2.94B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis
AMD,Advanced Micro Devices Inc.,12.63,$11.96B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd
ADXS,Advaxis Inc.,7.2,$291.33M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs
ADXSW,Advaxis Inc.,3.5847,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw
ADVM,Adverum Biotechnologies Inc.,2.7,$116.87M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/advm
AEGN,Aegion Corp,21.18,$699.2M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn
AGLE,Aeglea BioTherapeutics Inc.,4.84,$79.63M,2016,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agle
AEHR,Aehr Test Systems,3.17,$67.89M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr
AMTX,Aemetis Inc,0.89,$17.64M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx
AERI,Aerie Pharmaceuticals Inc.,58.7,$2.13B,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri
AVAV,AeroVironment Inc.,49.16,$1.17B,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav
AEZS,AEterna Zentaris Inc.,1.87,$29.54M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs
AEMD,Aethlon Medical Inc.,1.5742,$14.01M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd
GNMX,Aevi Genomic Medicine Inc.,1.36,$50.47M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gnmx
AFMD,Affimed N.V.,2.125,$93.37M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd
AGEN,Agenus Inc.,4.04,$402.84M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen
AGRX,Agile Therapeutics Inc.,3.39,$97.65M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx
AGYS,Agilysys Inc.,10.54,$246.55M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys
AGIO,Agios Pharmaceuticals Inc.,63.8,$3.09B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio
AGNC,AGNC Investment Corp.,21.35,$7.68B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,26,$9.01B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,25.34,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncn
AGNCP,AGNC Investment Corp.,25.33,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp
AGFS,AgroFresh Solutions Inc.,7.22,$363.44M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs
AGFSW,AgroFresh Solutions Inc.,0.651,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw
ALRN,Aileron Therapeutics Inc.,14.06,$206.89M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alrn
AIMT,Aimmune Therapeutics Inc.,22.83,$1.15B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AIRT,Air T Inc.,16.7,$34.11M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
ATSG,Air Transport Services Group Inc,23.5,$1.39B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
AIRG,Airgain Inc.,9.09,$86.76M,2016,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,2.53,$158.92M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn
AKAM,Akamai Technologies Inc.,46.8,$8.02B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,3.59,$42.28M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
AKCA,Akcea Therapeutics Inc.,21.39,$1.42B,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akca
AKBA,Akebia Therapeutics Inc.,16.46,$776.11M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,0.96,$8.55M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,Akorn Inc.,32.99,$4.12B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,Akoustis Technologies Inc.,6.93,$132.19M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
ALRM,Alarm.com Holdings Inc.,44.65,$2.09B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm
ALSK,Alaska Communications Systems Group Inc.,2.2,$115.35M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk
ALBO,Albireo Pharma Inc.,22.44,$199.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ABDC,Alcentra Capital Corp.,11.01,$156.84M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc
ADHD,Alcobra Ltd.,1.02,$28.11M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd
ALDR,Alder BioPharmaceuticals Inc.,9.9,$670.36M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,Aldeyra Therapeutics Inc.,4.2,$63.63M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALXN,Alexion Pharmaceuticals Inc.,143.5,$32.03B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn
ALCO,Alico Inc.,32.75,$270.31M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALGN,Align Technology Inc.,179.99,$14.43B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALIM,Alimera Sciences Inc.,1.4,$96.67M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,ALJ Regional Holdings Inc.,2.94,$105.96M,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,50.36,$7.74B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ABTX,Allegiance Bancshares Inc.,32.65,$429.72M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,115.15,$1.85B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
AHGP,Alliance Holdings GP L.P.,26.99,$1.62B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AMMA,Alliance MMA Inc.,1.29,$13.58M,2016,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/amma
ARLP,Alliance Resource Partners L.P.,18.55,$2.42B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
AHPI,Allied Healthcare Products Inc.,2.09,$8.39M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AMOT,Allied Motion Technologies Inc.,23.94,$226.29M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot
ALQA,Alliqua BioMedical Inc.,0.3,$15.03M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,5.12,$169.55M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
MDRX,Allscripts Healthcare Solutions Inc.,13.35,$2.41B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,49.5,$691.22M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam
ALNY,Alnylam Pharmaceuticals Inc.,72.53,$6.65B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,15.52,$372.36M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,935.95,$648.5B,2004,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,949.89,$658.16B,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,23.9409,$26.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,Alphatec Holdings Inc.,2.29,$31.56M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ALPN,Alpine Immune Sciences Inc.,8.9,$34.84M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alpn
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,27.82,$8.35M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/swin
AABA,Altaba Inc.,64.02,$56.71B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/aaba
ALT,Altimmune Inc.,2.44,$38.03M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alt
ASPS,Altisource Portfolio Solutions S.A.,23.72,$428.12M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,45.55,$1.34B,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,AMAG Pharmaceuticals Inc.,18.7,$659.89M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.14,$850.29M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,A-Mark Precious Metals Inc.,17.9,$125.86M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AMZN,Amazon.com Inc.,979.47,$470.52B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,Ambac Financial Group Inc.,17.42,$788.28M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,Ambac Financial Group Inc.,8.3,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,Ambarella Inc.,42.94,$1.44B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,57.14,$3.63B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,63.61,$9.25B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.323,$11.71M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,52.05,$1.76B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,380.45,$7.46B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,America First Multifamily Investors L.P.,6.1,$367.54M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,America Movil S.A.B. de C.V.,18.22,$59.94B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,American Airlines Group Inc.,43.84,$21.35B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,American Capital Senior Floating Ltd.,11.7,$117M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,American Electric Technologies Inc.,1.55,$13.35M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,American National Bankshares Inc.,36.1,$312.01M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,112.55,$3.03B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,American Outdoor Brands Corporation,16.94,$914.33M,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
APEI,American Public Education Inc.,18.85,$306.29M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,American Railcar Industries Inc.,35.04,$668.7M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,13.12,$83.86M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,American Software Inc.,11.01,$327.23M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,4.17,$80.04M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,86.55,$1.41B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,America&#39;s Car-Mart Inc.,38.85,$292.99M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,41.4,$1.54B,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,AMERISAFE Inc.,52.5,$1.01B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.9,$71.95M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,27.8415,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,27.45,$255.58M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,180.71,$131.86B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,Amicus Therapeutics Inc.,13.91,$2.29B,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,Amkor Technology Inc.,8.9,$2.13B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,Amphastar Pharmaceuticals Inc.,15.54,$717.88M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,36.61,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,Amtech Systems Inc.,11.14,$162.1M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,AmTrust Financial Services Inc.,11.53,$2.26B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,Amyris Inc.,2.71,$101.91M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ADI,Analog Devices Inc.,81.1,$29.82B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,73.45,$915.96M,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANAB,AnaptysBio Inc.,31.68,$644.45M,2017,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,Anavex Life Sciences Corp.,4.71,$198.63M,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,24.9,$62.37M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,10.16,$53.95M,2015,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,0.5499,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,10.95,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,0.32,n/a,2015,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,Angie&#39;s List Inc.,11.96,$733.02M,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,AngioDynamics Inc.,17.33,$633.94M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,ANI Pharmaceuticals Inc.,49.26,$573.84M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
ANIK,Anika Therapeutics Inc.,54.9,$804.75M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik
ANSS,ANSYS Inc.,128.46,$10.89B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss
ATRS,Antares Pharma Inc.,3.02,$472.35M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ANTH,Anthera Pharmaceuticals Inc.,1.38,$15.05M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth
ABAC,Aoxin Tianli Group Inc.,2.1991,$17.56M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac
APOG,Apogee Enterprises Inc.,43.4,$1.25B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog
APEN,Apollo Endosurgery Inc.,4.42,$76.26M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apen
AINV,Apollo Investment Corporation,5.98,$1.31B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv
APPF,AppFolio Inc.,44.7,$1.52B,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf
APPN,Appian Corporation,25.82,$1.55B,2017,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appn
AAPL,Apple Inc.,161.26,$832.94B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl
ARCI,Appliance Recycling Centers of America Inc.,1.41,$9.38M,n/a,Consumer Services,Home Furnishings,http://www.nasdaq.com/symbol/arci
APDN,Applied DNA Sciences Inc,2.35,$64.34M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdn
APDNW,Applied DNA Sciences Inc,0.56,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apdnw
AGTC,Applied Genetic Technologies Corporation,4.7,$84.99M,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agtc
AMAT,Applied Materials Inc.,45.22,$48.23B,1972,Technology,Semiconductors,http://www.nasdaq.com/symbol/amat
AAOI,Applied Optoelectronics Inc.,56.16,$1.08B,2013,Technology,Semiconductors,http://www.nasdaq.com/symbol/aaoi
AREX,Approach Resources Inc.,2.76,$238.75M,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
APTI,Apptio Inc.,17.15,$685.24M,2016,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apti
APRI,Apricus Biosciences Inc.,1.64,$20.97M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apri
APVO,Aptevo Therapeutics Inc.,1.89,$40.48M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/apvo
APTO,Aptose Biosciences Inc.,1.45,$34.73M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/apto
AQMS,Aqua Metals Inc.,5.67,$114.34M,2015,Basic Industries,Metal Fabrications,http://www.nasdaq.com/symbol/aqms
AQB,AquaBounty Technologies Inc.,7.44,$66.18M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aqb
AQXP,Aquinox Pharmaceuticals Inc.,14.15,$332.03M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aqxp
